Name,Conference,Division,State,Links
Ohio Dominican University,Great Midwest Athletic Conference,II,OH,"www.ohiodominican.edu/
www.ohiodominicanpanthers.com"
Ohio Northern University,Ohio Athletic Conference,III,OH,"www.onu.edu/
www.onusports.com"
Ohio University,Mid-American Conference,I-FBS,OH,"www.ohio.edu
www.ohiobobcats.com"
Ohio Wesleyan University,North Coast Athletic Conference,III,OH,"www.owu.edu/
https://battlingbishops.com/"
Oklahoma Baptist University,Great American Conference,II,OK,"www.okbu.edu
www.obubison.com"
Oklahoma Christian University,Lone Star Conference,II,OK,"www.oc.edu
www.oceagles.com"
Oklahoma State University,Big 12 Conference,I-FBS,OK,"www.okstate.edu
www.okstate.com"
Old Dominion University,Conference USA,I-FBS,VA,"www.odu.edu
www.odusports.com"
Olivet College,Michigan Intercol. Ath. Assn.,III,MI,"www.olivetcollege.edu/
www.olivetcomets.com"
Oral Roberts University,The Summit League,I,OK,"www.oru.edu
www.oruathletics.com"
Oregon State University,Pac-12 Conference,I-FBS,OR,"oregonstate.edu/
osubeavers.com/"
Otterbein University,Ohio Athletic Conference,III,OH,"www.otterbein.edu/
www.otterbeincardinals.com"
Ouachita Baptist University,Great American Conference,II,AR,"www.obu.edu
www.obutigers.com"
Pace University,Northeast-10 Conference,II,NY,"www.pace.edu
www.paceuathletics.com"
Pacific Lutheran University,Northwest Conference,III,WA,"www.plu.edu/
www.golutes.com"
Pacific University (Oregon),Northwest Conference,III,OR,"www.pacificu.edu/
www.goboxers.com"
Palm Beach Atlantic University,Sunshine State Conference,II,FL,"www.pba.edu
www.pbasailfish.com"
Penn State Berks College,United East Conference,III,PA,"www.berks.psu.edu
www.psuberksathletics.com"
Penn State Harrisburg,United East Conference,III,PA,"www.hbg.psu.edu
athletics.hbg.psu.edu/landing/index"
"Penn State University, Abington",United East Conference,III,PA,"www.abington.psu.edu
www.abingtonsports.com"
"Penn State University, Altoona",Allegheny Mountain Collegiate Conference,III,PA,"www.altoona.psu.edu
www.psaltoonalions.com"
Pennsylvania College of Technology,United East Conference,III,PA,"www.pct.edu
athletics.pct.edu"
"Pennsylvania State Univ. Erie, the Behrend College",Allegheny Mountain Collegiate Conference,III,PA,"pserie.psu.edu
PSBLions.com"
Pennsylvania State University,Big Ten Conference,I-FBS,PA,"www.psu.edu
goPSUsports.com"
Pepperdine University,West Coast Conference,I,CA,"www.pepperdine.edu/
www.pepperdinewaves.com"
Pfeiffer University,USA South Athletic Conference,III,NC,"www.Pfeiffer.edu
www.gofalconsports.com"
Piedmont University,USA South Athletic Conference,III,GA,"www.piedmont.edu/
www.piedmontlions.com"
Pittsburg State University,Mid-America Intercollegiate Athletics Association,II,KS,"www.pittstate.edu
www.pittstategorillas.com"
Plattsburgh State University of New York,State University of New York Athletic Conference,III,NY,"www.plattsburgh.edu/
www.gocardinalsports.com/"
Plymouth State University,Little East Conference,III,NH,"www.plymouth.edu/
www.plymouth.edu/athletic/"
Point Loma Nazarene University,Pacific West Conference,II,CA,"www.pointloma.edu
www.plnusealions.com"
Pomona-Pitzer Colleges,Southern California Intercollegiate Athletic Conf.,III,CA,"www.pomona.edu; www.pitzer.edu
www.sagehens.com"
Portland State University,Big Sky Conference,I-FCS,OR,"pdx.edu
goviks.com"
Post University,Central Atlantic Collegiate Conference,II,CT,"www.post.edu
www.posteagles.com"
Prairie View A&M University,Southwestern Athletic Conf.,I-FCS,TX,"www.pvamu.edu
www.pvpanthers.com"
Presbyterian College,Big South Conference,I-FCS,SC,"presby.edu
gobluehose.com"
Princeton University,The Ivy League,I-FCS,NJ,"www.princeton.edu
www.goprincetontigers.com"
Principia College,St. Louis Intercollegiate Athletic Conference,III,IL,"www.principiacollege.edu
www.principiaathletics.com"
Providence College,Big East Conference,I,RI,"www.providence.edu/
www.friars.com"
"Purchase College, State University of New York",Skyline Conference,III,NY,"www.purchase.edu
www.purchasecollegeathletics.com"
Purdue University,Big Ten Conference,I-FBS,IN,"www.purdue.edu
purduesports.com"
Purdue University Fort Wayne,Horizon League,I,IN,"www.pfw.edu/
www.gomastodons.com/"
Purdue University Northwest,Great Lakes Intercollegiate Athletic Conference,II,IN,"www.pnw.edu
www.pnwathletics.com"
Queens College (New York),East Coast Conference,II,NY,"www.qc.cuny.edu
www.queensknights.com"
Queens University of Charlotte,South Atlantic Conference,II,NC,"www.queens.edu
www.queensathletics.com"
Quincy University,Great Lakes Valley Conference,II,IL,"quincy.edu
quhawks.com"
Quinnipiac University,Metro Atlantic Athletic Conference,I,CT,"www.quinnipiac.edu
www.gobobcats.com"
Radford University,Big South Conference,I,VA,"www.radford.edu/
www.radfordathletics.com"
Ramapo College,New Jersey Athletic Conference,III,NJ,"www.ramapo.edu
www.ramapoathletics.com"
Randolph College,Old Dominion Athletic Conf.,III,VA,"www.randolphcollege.edu
www.randolphwildcats.com"
Randolph-Macon College,Old Dominion Athletic Conf.,III,VA,"www.rmc.edu
www.rmcathletics.com"
Regis College (Massachusetts),Great Northeast Athletic Conference,III,MA,"www.regiscollege.edu/
www.goregispride.com"
Regis University (Colorado),Rocky Mountain Athletic Conference,II,CO,"www.regis.edu
www.regisrangers.com"
Rensselaer Polytechnic Institute,Liberty League,III,NY,"www.rpi.edu
www.rpiathletics.com"
Rhode Island College,Little East Conference,III,RI,"www.ric.edu
www.goanchormen.com"
Rhodes College,Southern Athletic Association,III,TN,"www.rhodes.edu/
www.rhodeslynx.com"
Rice University,Conference USA,I-FBS,TX,"www.rice.edu
www.riceowls.com"
Rider University,Metro Atlantic Athletic Conference,I,NJ,"www.rider.edu
www.gobroncs.com"
Ripon College,Midwest Conference,III,WI,"www.ripon.edu
riponredhawks.com/"
Rivier University,Great Northeast Athletic Conference,III,NH,"www.rivier.edu
www.rivierathletics.com"
Roanoke College,Old Dominion Athletic Conf.,III,VA,"www.roanoke.edu/
maroons.roanoke.edu/"
Robert Morris University,Horizon League,I-FCS,PA,"www.rmu.edu
www.rmucolonials.com"
Roberts Wesleyan College,East Coast Conference,II,NY,"www.roberts.edu
www.robertsredhawks.com"
Rochester Institute of Technology,Liberty League,III,NY,"www.rit.edu/
www.ritathletics.com"
Rockford University,Northern Athletics Collegiate Conference,III,IL,"www.rockford.edu
www.rockfordregents.com"
Rockhurst University,Great Lakes Valley Conference,II,MO,"www.rockhurst.edu/
www.rockhursthawks.com/"
Roger Williams University,Commonwealth Coast Conference,III,RI,"www.rwu.edu/
www.rwuhawks.com"
Rogers State University,,II,OK,"www.rsu.edu
www.rsuhillcats.com"
Rollins College,Sunshine State Conference,II,FL,"Rollins.edu
RollinsSports.com"
Rose-Hulman Institute of Technology,Heartland Collegiate Athletic Conference,III,IN,"www.rose-hulman.edu/
www.rose-hulman.edu/athletics"
Rosemont College,Colonial States Athletic Conference,III,PA,"www.rosemont.edu/
www.rosemont-ravens.com"
Rowan University,New Jersey Athletic Conference,III,NJ,"www.rowan.edu/
www.rowanathletics.com"
Russell Sage College,Empire 8,III,NY,"www.sage.edu/
www.sagegators.com"
"Rutgers, The State Univ. of New Jersey, Camden",New Jersey Athletic Conference,III,NJ,"www.camden.rutgers.edu
www.scarletraptors.com"
"Rutgers, The State Univ. of New Jersey, Newark",New Jersey Athletic Conference,III,NJ,"www.newark.rutgers.edu
www.rutgersnewarkathletics.com"
"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,I-FBS,NJ,"www.rutgers.edu
www.scarletknights.com"
Sacred Heart University,Northeast Conference,I-FCS,CT,"www.sacredheart.edu
sacredheartpioneers.com"
Saginaw Valley State University,Great Lakes Intercollegiate Athletic Conference,II,MI,"www.svsu.edu
www.svsucardinals.com"
Saint Anselm College,Northeast-10 Conference,II,NH,"www.anselm.edu
www.saintanselmhawks.com"
Saint Augustine's University,Central Intercollegiate Athletic Association,II,NC,"www.st-aug.edu/
www.saintaugfalcons.com/index.aspx"
Saint Elizabeth University,Colonial States Athletic Conference,III,NJ,"www.steu.edu
www.seuathletics.com"
Saint Francis University (Pennsylvania),Northeast Conference,I-FCS,PA,"www.francis.edu
www.sfuathletics.com"
Saint John's University (Minnesota),Minnesota Intercollegiate Athletic Conference,III,MN,"www.csbsju.edu
www.gojohnnies.com"
Saint Joseph's College (Maine),Great Northeast Athletic Conference,III,ME,"www.sjcme.edu
www.gomonks.com"
Saint Joseph's University,Atlantic 10 Conference,I,PA,"www.sju.edu
sjuhawks.com"
Saint Leo University,Sunshine State Conference,II,FL,"www.saintleo.edu
www.saintleolions.com"
Saint Louis University,Atlantic 10 Conference,I,MO,"www.slu.edu/
www.slubillikens.com"
Saint Martin's University,Great Northwest Athletic Conference,II,WA,"www.stmartin.edu/
www.smusaints.com"
Saint Mary's College (Indiana),Michigan Intercol. Ath. Assn.,III,IN,"www.saintmarys.edu/
belles.saintmarys.edu"
Saint Mary's College of California,West Coast Conference,I,CA,"www.stmarys-ca.edu/
www.SMCGaels.com"
Saint Mary's University of Minnesota,Minnesota Intercollegiate Athletic Conference,III,MN,"www.smumn.edu
www.saintmaryssports.com"
Saint Michael's College,Northeast-10 Conference,II,VT,"www.smcvt.edu
www.smcathletics.com"
Saint Peter's University,Metro Atlantic Athletic Conference,I,NJ,"www.saintpeters.edu.
www.saintpeterspeacocks.com"
Saint Vincent College,Presidents' Athletic Conference,III,PA,"www.stvincent.edu
www.athletics.stvincent.edu"
Salem College (North Carolina),USA South Athletic Conference,III,NC,"www.salem.edu/
www.salem.edu/athletics"
Salem State University,Massachusetts State Collegiate Athletic Conference,III,MA,"www.salemstate.edu
www.salemstatevikings.com"
Salem University (West Virginia),,II,WV,"www.salemu.edu/
www.salemtigers.com"
Salisbury University,Coast-To-Coast Athletic Conference,III,MD,"www.salisbury.edu/
www.salisbury.edu/athletics/"
Salve Regina University,Commonwealth Coast Conference,III,RI,"www.salve.edu
www.salveathletics.com"
Sam Houston State University,Western Athletic Conference,I-FCS,TX,"www.shsu.edu
www.gobearkats.com"
Samford University,Southern Conference,I-FCS,AL,"www.samford.edu/
samfordsports.com"
San Diego State University,Mountain West Conference,I-FBS,CA,"www.sdsu.edu
goaztecs.com"
San Francisco State University,California Collegiate Athletic Association,II,CA,"www.sfsu.edu/
sfstategators.com"
San Jose State University,Mountain West Conference,I-FBS,CA,"www.sjsu.edu
www.sjsuspartans.com"
Santa Clara University,West Coast Conference,I,CA,"scu.edu
santaclarabroncos.com"
Sarah Lawrence College,Skyline Conference,III,NY,"www.sarahlawrence.edu
www.gogryphons.com"
Savannah State University,Southern Intercol. Ath. Conf.,II,GA,"www.savannahstate.edu
ssuathletics.com/"
Schreiner University,Southern Collegiate Athletic Conference,III,TX,"www.schreiner.edu/
www.schreinermountaineers.com"
Seattle Pacific University,Great Northwest Athletic Conference,II,WA,"https://spu.edu/
https://spufalcons.com/index.aspx"
Seattle University,Western Athletic Conference,I,WA,"seattleu.edu
goseattleu.com"
Seton Hall University,Big East Conference,I,NJ,"www.shu.edu
www.shupirates.com"
Seton Hill University,Pennsylvania State Athletic Conference,II,PA,"www.setonhill.edu/
www.setonhill.edu/athletics"
Shaw University,Central Intercollegiate Athletic Association,II,NC,"www.shawuniversity.edu
www.shawbears.com"
Shenandoah University,Old Dominion Athletic Conf.,III,VA,"www.su.edu
www.suhornets.com"
Shepherd University,Pennsylvania State Athletic Conference,II,WV,"shepherd.edu
shepherdrams.com"
Shippensburg University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.ship.edu
www.shipraiders.com"
Shorter University,Gulf South Conference,II,GA,"www.shorter.edu
www.goshorterhawks.com"
Siena College,Metro Atlantic Athletic Conference,I,NY,"www.siena.edu
www.sienasaints.com"
Simmons University,Great Northeast Athletic Conference,III,MA,"www.simmons.edu/
athletics.simmons.edu"
Simon Fraser University,Great Northwest Athletic Conference,II,BC,"www.sfu.ca
athletics.sfu.ca/"
Simpson College,American Rivers Conference,III,IA,"www.simpson.edu/
https://simpsonathletics.com"
Skidmore College,Liberty League,III,NY,"www.skidmore.edu/
www.skidmore.edu/athletics"
Slippery Rock University of Pennsylvania,Pennsylvania State Athletic Conference,II,PA,"www.sru.edu
www.rockathletics.com"
Smith College,New England Women's and Men's Athletic Conference,III,MA,"www.smith.edu/
www.smithpioneers.com"
Sonoma State University,California Collegiate Athletic Association,II,CA,"www.sonoma.edu/
www.sonomaseawolves.com"
South Carolina State University,Mid-Eastern Athletic Conf.,I-FCS,SC,"www.scsu.edu/
www.scsuathletics.com/index.aspx"
South Dakota School of Mines & Technology,Rocky Mountain Athletic Conference,II,SD,"sdmines.sdsmt.edu/sdsmt
gorockers.com"
South Dakota State University,The Summit League,I-FCS,SD,"www.sdstate.edu
www.gojacks.com"
Southeast Missouri State University,Ohio Valley Conference,I-FCS,MO,"www.semo.edu
www.GoSoutheast.com"
Southeastern Louisiana University,Southland Conference,I-FCS,LA,"www.southeastern.edu
www.lionsports.net"
Southeastern Oklahoma State University,Great American Conference,II,OK,"www.se.edu
www.gosoutheastern.com"
Southern Arkansas University,Great American Conference,II,AR,"www.saumag.edu
www.muleriderathletics.com"
Southern Connecticut State University,Northeast-10 Conference,II,CT,"southernct.edu
scsuowls.com"
Southern Illinois University at Carbondale,Missouri Valley Conference,I-FCS,IL,"www.siuc.edu/
www.siusalukis.com/"
Southern Illinois University Edwardsville,Ohio Valley Conference,I,IL,"www.siue.edu
www.siuecougars.com"
Southern Methodist University,American Athletic Conference,I-FBS,TX,"www.smu.edu
www.smumustangs.com"
Southern Nazarene University,Great American Conference,II,OK,"snu.edu
snuathletics.com"
Southern New Hampshire University,Northeast-10 Conference,II,NH,"www.snhu.edu
www.snhupenmen.com"
"Southern University, Baton Rouge",Southwestern Athletic Conf.,I-FCS,LA,"www.subr.edu
www.gojagsports.com"
Southern Utah University,Big Sky Conference,I-FCS,UT,"www.suu.edu
www.suutbirds.com"
Southern Virginia University,USA South Athletic Conference,III,VA,"www.svu.edu
athletics.svu.edu/landing/index"
Southern Wesleyan University,Conference Carolinas,II,SC,"www.swu.edu
swuathletics.com"
Southwest Baptist University,Great Lakes Valley Conference,II,MO,"www.sbuniv.edu
www.sbubearcats.com"
Southwest Minnesota State University,Northern Sun Intercollegiate Conference,II,MN,"www.smsu.edu
www.smsumustangs.com"
Southwestern Oklahoma State University,Great American Conference,II,OK,"www.swosu.edu/
www.swosuathletics.com"
Southwestern University (Texas),Southern Collegiate Athletic Conference,III,TX,"www.southwestern.edu
www.southwesternpirates.com"
Spalding University,St. Louis Intercollegiate Athletic Conference,III,KY,"www.spalding.edu
www.spaldingathletics.com"
Spring Hill College,Southern Intercol. Ath. Conf.,II,AL,"www.shc.edu
www.shcbadgers.com"
Springfield College,New England Women's and Men's Athletic Conference,III,MA,"www.springfieldcollege.edu/
www.springfieldcollegepride.com/landing/index"
St. Bonaventure University,Atlantic 10 Conference,I,NY,"www.sbu.edu
www.gobonnies.com"
St. Catherine University,Minnesota Intercollegiate Athletic Conference,III,MN,"www.stkate.edu/
www.stkatesathletics.com/index.aspx"
St. Cloud State University,Northern Sun Intercollegiate Conference,II,MN,"www.stcloudstate.edu/
www.stcloudstate.edu/athletics"
St. Edward's University,Lone Star Conference,II,TX,"stedwards.edu
gohilltoppers.com"
St. Francis College Brooklyn,Northeast Conference,I,NY,"www.sfc.edu
www.sfcathletics.com"
St. John Fisher College,Empire 8,III,NY,"www.sjfc.edu
www.sjfc.edu/athletics"
St. John's University (New York),Big East Conference,I,NY,"www.stjohns.edu
www.redstormsports.com"
St. Joseph's College (Brooklyn),Skyline Conference,III,NY,"www.sjcny.edu/
www.sjcbears.com"
St. Joseph's College (Long Island),Skyline Conference,III,NY,"www.sjcny.edu
www.sjcgoldeneagles.com"
St. Lawrence University,Liberty League,III,NY,"www.stlawu.edu/
www.saintsathletics.com"
St. Mary's College of Maryland,United East Conference,III,MD,"www.smcm.edu/
www.smcmathletics.com"
St. Mary's University (Texas),Lone Star Conference,II,TX,"www.stmarytx.edu
www.rattlerathletics.com"
St. Norbert College,Northern Athletics Collegiate Conference,III,WI,"www.snc.edu
www.snc.edu/athletics"
St. Olaf College,Minnesota Intercollegiate Athletic Conference,III,MN,"www.stolaf.edu
https://athletics.stolaf.edu"
St. Thomas Aquinas College,East Coast Conference,II,NY,"https://www.stac.edu/
https://www.stacathletics.com/landing/index"
Stanford University,Pac-12 Conference,I-FBS,CA,"www.stanford.edu
gostanford.com/"
State University College at Old Westbury,Skyline Conference,III,NY,"www.oldwestbury.edu
www.oldwestburypanthers.com"
State University of New York at Brockport,State University of New York Athletic Conference,III,NY,"www.brockport.edu
gobrockport.com"
State University of New York at Canton,North Atlantic Conference,III,NY,"www.canton.edu/
www.rooathletics.com"
State University of New York at Cobleskill,North Atlantic Conference,III,NY,"www.cobleskill.edu/home.asp
fightingtigers.cobleskill.edu/"
State University of New York at Cortland,State University of New York Athletic Conference,III,NY,"www.cortland.edu
www.cortland.edu/athletics"
State University of New York at Delhi,North Atlantic Conference,III,NY,"www.delhi.edu/
delhibroncos.com/landing/index"
State University of New York at Geneseo,State University of New York Athletic Conference,III,NY,"www.geneseo.edu/
www.geneseoknights.com"
State University of New York at New Paltz,State University of New York Athletic Conference,III,NY,"www.newpaltz.edu/
www.nphawks.com"
State University of New York at Oneonta,State University of New York Athletic Conference,III,NY,"www.oneonta.edu
www.oneontaathletics.com"
State University of New York at Oswego,State University of New York Athletic Conference,III,NY,"www.oswego.edu/index
oswegolakers.com"
State University of New York at Potsdam,State University of New York Athletic Conference,III,NY,"www.potsdam.edu/
www.potsdambears.com"
State University of New York Maritime College,Skyline Conference,III,NY,"www.sunymaritime.edu/
www.maritimeathletics.com"
State University of New York Polytechnic Institute,North Atlantic Conference,III,NY,"www.sunypoly.edu
wildcats.sunyit.edu/landing/index"
Stephen F. Austin State University,Western Athletic Conference,I-FCS,TX,"www.sfasu.edu/
SFAjacks.com"
Stetson University,ASUN Conference,I-FCS,FL,"www.stetson.edu/
www.gohatters.com"
Stevens Institute of Technology,Middle Atlantic Conferences,III,NJ,"www.stevens.edu
www.stevensducks.com"
Stevenson University,Middle Atlantic Conferences,III,MD,"www.stevenson.edu
www.gomustangsports.com"
Stockton University,New Jersey Athletic Conference,III,NJ,"www.stockton.edu
www.stocktonathletics.com"
Stonehill College,Northeast-10 Conference,II,MA,"www.stonehill.edu
www.stonehillskyhawks.com"
Stony Brook University,America East Conference,I-FCS,NY,"stonybrook.edu
stonybrookathletics.com"
Suffolk University,Commonwealth Coast Conference,III,MA,"www.suffolk.edu/
www.gosuffolkrams.com"
Sul Ross State University,American Southwest Conference,III,TX,"www.sulross.edu/
www.srlobos.com"
SUNY Morrisville,United East Conference,III,NY,"www.morrisville.edu
morrisvillemustangs.com/"
Susquehanna University,Landmark Conference,III,PA,"www.susqu.edu
www.gosusqu.com"
Swarthmore College,Centennial Conference,III,PA,"www.swarthmore.edu/
www.swarthmore.edu/athletics/com"
Sweet Briar College,Old Dominion Athletic Conf.,III,VA,"www.sbc.edu
www.vixenathletics.com"
Syracuse University,Atlantic Coast Conference,I-FBS,NY,"syracuse.edu
cuse.com"
Tarleton State University,Western Athletic Conference,II,TX,"www.tarleton.edu/
tarletonsports.com"
Temple University,American Athletic Conference,I-FBS,PA,"www.temple.edu
www.owlsports.com"
Tennessee State University,Ohio Valley Conference,I-FCS,TN,"www.tnstate.edu/
www.tsutigers.com"
Tennessee Technological University,Ohio Valley Conference,I-FCS,TN,"www.tntech.edu/
www.TTUsports.com/"
Texas A&M International University,Lone Star Conference,II,TX,"www.tamiu.edu
www.tamiu.edu/athletics/"
Texas A&M University-Commerce,Lone Star Conference,II,TX,"www.tamuc.edu
www.lionathletics.com"
Texas A&M University-Corpus Christi,Southland Conference,I,TX,"www.tamucc.edu/
www.goislanders.com"
Texas A&M University-Kingsville,Lone Star Conference,II,TX,"www.tamuk.edu/
www.javelinaathletics.com"
"Texas A&M University, College Station",Southeastern Conference,I-FBS,TX,"www.tamu.edu
www.12thman.com"
Texas Christian University,Big 12 Conference,I-FBS,TX,"www.tcu.edu
www.gofrogs.com"
Texas Lutheran University,Southern Collegiate Athletic Conference,III,TX,"tlu.edu
www.tlu.edu/athletics"
Texas Southern University,Southwestern Athletic Conf.,I-FCS,TX,"www.tsu.edu
www.tsusports.com"
Texas State University,Sun Belt Conference,I-FBS,TX,"www.txstate.edu
txstatebobcats.com"
Texas Tech University,Big 12 Conference,I-FBS,TX,"www.ttu.edu
www.texastech.com"
Texas Woman's University,Lone Star Conference,II,TX,"www.twu.edu
www.twuathletics.com"
The Citadel,Southern Conference,I-FCS,SC,"www.citadel.edu
www.citadelsports.com"
The City College of New York,City University of New York Athletic Conference,III,NY,"www.ccny.cuny.edu
www.ccnyathletics.com"
The College of New Jersey,New Jersey Athletic Conference,III,NJ,"www.tcnj.edu
www.tcnjathletics.com"
The College of Saint Rose,Northeast-10 Conference,II,NY,"www.strose.edu
gogoldenknights.com"
The College of St. Scholastica,Minnesota Intercollegiate Athletic Conference,III,MN,"www.css.edu/
www.csssaints.com"
The College of Wooster,North Coast Athletic Conference,III,OH,"www.wooster.edu
www.woosterathletics.com"
The Ohio State University,Big Ten Conference,I-FBS,OH,"https://www.osu.edu/
ohiostatebuckeyes.com/"
The State University of New York at Fredonia,State University of New York Athletic Conference,III,NY,"www.fredonia.edu
www.fredoniabluedevils.com"
The University of North Carolina at Charlotte,Conference USA,I-FBS,NC,"www.uncc.edu
www.charlotte49ers.com"
The University of North Carolina at Greensboro,Southern Conference,I,NC,"www.uncg.edu
www.uncgspartans.com"
The University of Southern Mississippi,Conference USA,I-FBS,MS,"www.usm.edu
www.southernmiss.com"
The University of Texas at Tyler,Lone Star Conference,II,TX,"www.uttyler.edu
www.uttylerpatriots.com"
The University of Texas Rio Grande Valley,Western Athletic Conference,I,TX,"www.utrgv.edu
goutrgv.com"
The University of Tulsa,American Athletic Conference,I-FBS,OK,"www.utulsa.edu
www.tulsahurricane.com"
The University of Virginia's College at Wise,South Atlantic Conference,II,VA,"www.uvawise.edu
www.uvawisecavs.com"
Thiel College,Presidents' Athletic Conference,III,PA,"www.thiel.edu
www.thielathletics.com"
Thomas College,North Atlantic Conference,III,ME,"www.thomas.edu/
www.thomasathletics.com"
Thomas Jefferson University,Central Atlantic Collegiate Conference,II,PA,"www.jefferson.edu
www.jeffersonrams.com"
Tiffin University,Great Midwest Athletic Conference,II,OH,"tiffin.edu
www.gotiffindragons.com"
Towson University,Colonial Athletic Association,I-FCS,MD,"www.towson.edu
www.towsontigers.com"
Transylvania University,Heartland Collegiate Athletic Conference,III,KY,"www.transy.edu/
www.transysports.com"
Trevecca Nazarene University,Great Midwest Athletic Conference,II,TN,"www.trevecca.edu
www.tnutrojans.com"
Trine University,Michigan Intercol. Ath. Assn.,III,IN,"www.trine.edu
www.trinethunder.com"
Trinity College (Connecticut),New England Small College Athletic Conference,III,CT,"www.trincoll.edu
www.bantamsports.com"
Trinity University (Texas),Southern Collegiate Athletic Conference,III,TX,"www.trinity.edu
www.trinitytigers.com"
Trinity Washington University,,III,DC,"https://discover.trinitydc.edu
https://discover.trinitydc.edu/athletics/"
Troy University,Sun Belt Conference,I-FBS,AL,"troy.edu
troytrojans.com"
Truman State University,Great Lakes Valley Conference,II,MO,"www.truman.edu/
www.trumanbulldogs.com"
Tufts University,New England Small College Athletic Conference,III,MA,"www.tufts.edu/
www.gotuftsjumbos.com/landing/index"
Tulane University,American Athletic Conference,I-FBS,LA,"www.tulane.edu
www.tulanegreenwave.com"
Tusculum University,South Atlantic Conference,II,TN,"www.tusculum.edu
https://www.tusculumpioneers.com"
Tuskegee University,Southern Intercol. Ath. Conf.,II,AL,"www.tuskegee.edu
www.goldentigersports.com/"
U.S. Air Force Academy,Mountain West Conference,I-FBS,CO,"www.usafa.edu
www.goairforcefalcons.com/"
U.S. Coast Guard Academy,New England Women's and Men's Athletic Conference,III,CT,"www.uscga.edu/
www.uscgasports.com/landing/index"
U.S. Merchant Marine Academy,Skyline Conference,III,NY,"usmma.edu
usmmasports.com"
U.S. Military Academy,Patriot League,I-FBS,NY,"https://www.westpoint.edu/
https://goarmywestpoint.com/"
U.S. Naval Academy,Patriot League,I-FBS,MD,"www.usna.edu/
www.navysports.com"
Union College (New York),Liberty League,III,NY,"www.union.edu/
www.unionathletics.com/"
Union University,Gulf South Conference,II,TN,"www.uu.edu
www.uuathletics.com"
University at Albany,America East Conference,I-FCS,NY,"www.albany.edu
www.ualbanysports.com"
"University at Buffalo, the State University of New York",Mid-American Conference,I-FBS,NY,"www.buffalo.edu
www.ubbulls.com"
University of Akron,Mid-American Conference,I-FBS,OH,"uakron.edu
gozips.com"
University of Alabama,Southeastern Conference,I-FBS,AL,"www.ua.edu
www.rolltide.com"
University of Alabama at Birmingham,Conference USA,I-FBS,AL,"www.uab.edu
www.uabsports.com"
University of Alabama in Huntsville,Gulf South Conference,II,AL,"uah.edu
uahchargers.com"
University of Alaska Anchorage,Great Northwest Athletic Conference,II,AK,"www.uaa.alaska.edu
www.goseawolves.com"
University of Alaska Fairbanks,Great Northwest Athletic Conference,II,AK,"www.uaf.edu
www.AlaskaNanooks.com"
University of Arizona,Pac-12 Conference,I-FBS,AZ,"www.arizona.edu
www.arizonawildcats.com"
University of Arkansas at Little Rock,Sun Belt Conference,I,AR,"www.ualr.edu
//lrtrojans.com"
"University of Arkansas, Fayetteville",Southeastern Conference,I-FBS,AR,"www.uark.edu/
arkansasrazorbacks.com/"
"University of Arkansas, Fort Smith",Lone Star Conference,II,AR,"www.uafs.edu/Home/Index
www.uafortsmithlions.com"
"University of Arkansas, Monticello",Great American Conference,II,AR,"www.uamont.edu
www.uamsports.com"
"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,I-FCS,AR,"www.uapb.edu
uapblionsroar.com/"
University of Bridgeport,East Coast Conference,II,CT,"www.bridgeport.edu
www.ubknights.com"
"University of California, Berkeley",Pac-12 Conference,I-FBS,CA,"www.berkeley.edu
www.calbears.com"
"University of California, Davis",Big West Conference,I-FCS,CA,"www.ucdavis.edu
www.ucdavisaggies.com"
"University of California, Irvine",Big West Conference,I,CA,"www.uci.edu
https://ucirvinesports.com/"
"University of California, Los Angeles",Pac-12 Conference,I-FBS,CA,"www.ucla.edu
www.uclabruins.com"
"University of California, Riverside",Big West Conference,I,CA,"www.ucr.edu
www.gohighlanders.com/"
"University of California, San Diego",Big West Conference,II,CA,"www.ucsd.edu
www.ucsdtritons.com"
"University of California, Santa Barbara",Big West Conference,I,CA,"www.ucsb.edu
ucsbgauchos.com"
"University of California, Santa Cruz",Coast-To-Coast Athletic Conference,III,CA,"www.ucsc.edu/
www.goslugs.com/"
University of Central Arkansas,ASUN Conference,I-FCS,AR,"www.uca.edu
www.ucasports.com"
University of Central Florida,American Athletic Conference,I-FBS,FL,"www.ucf.edu
www.ucfknights.com/"
University of Central Missouri,Mid-America Intercollegiate Athletics Association,II,MO,"https://www.ucmo.edu/
https://ucmathletics.com/"
University of Central Oklahoma,Mid-America Intercollegiate Athletics Association,II,OK,"www.uco.edu
www.bronchosports.com"
University of Charleston (West Virginia),Mountain East Conference,II,WV,"www.ucwv.edu
www.ucgoldeneagles.com"
University of Chicago,University Athletic Association,III,IL,"www.uchicago.edu
athletics.uchicago.edu/landing/index"
University of Cincinnati,American Athletic Conference,I-FBS,OH,"uc.edu
gobearcats.com"
"University of Colorado, Boulder",Pac-12 Conference,I-FBS,CO,"www.colorado.edu/
www.cubuffs.com/"
"University of Colorado, Colorado Springs",Rocky Mountain Athletic Conference,II,CO,"www.uccs.edu
www.gomountainlions.com"
University of Connecticut,Big East Conference,I-FBS,CT,"www.uconn.edu
www.uconnhuskies.com"
University of Dallas,Southern Collegiate Athletic Conference,III,TX,"www.udallas.edu
www.udallasathletics.com"
